Features,Importance
VSA_EState9,0.05480382920396148
MolMR,0.040830867699706216
Chi2v,0.03009446852455032
PEOE_VSA10,0.025264468062039507
SlogP_VSA12,0.02482703823842501
NumAliphaticCarbocycles,0.022238841000699658
NumAromaticHeterocycles,0.021278727563348608
PEOE_VSA14,0.020892389491585395
PEOE_VSA2,0.018399978348554724
SlogP_VSA11,0.01653922422915414
VSA_EState10,0.01469919782858692
Chi4v,0.014268807363978684
LabuteASA,0.013754826138663028
BCUT2D_MWHI,0.013397452240924815
PEOE_VSA5,0.01287105576487388
BCUT2D_LOGPHI,0.012674163947893807
BCUT2D_MRLOW,0.012176687768083125
SlogP_VSA10,0.011980782622507064
MinAbsPartialCharge,0.01181957752144557
SMR_VSA5,0.01173725897952698
fr_Al_COO,0.011219403418262828
Chi1,0.01111989176643119
PEOE_VSA11,0.011088873869171463
NumSaturatedRings,0.011081131725072668
VSA_EState3,0.010758702250884404
NumHAcceptors,0.010398079142169793
SMR_VSA6,0.010218290870665541
Ipc,0.010213721613548167
ExactMolWt,0.010079139141144897
Chi1v,0.009908315877951171
BCUT2D_CHGLO,0.009817988611896129
SMR_VSA4,0.009812392215282939
Chi0n,0.009693734165870152
Chi4n,0.009670101403014024
PEOE_VSA8,0.009653570652535816
EState_VSA1,0.009399022642086833
Kappa3,0.00936656319758554
FpDensityMorgan2,0.009225326542614487
PEOE_VSA6,0.009219375179719044
EState_VSA8,0.009105861050400023
FpDensityMorgan3,0.008917340541474241
SMR_VSA7,0.008902950700805603
EState_VSA11,0.008824561861269724
EState_VSA5,0.008824043343119134
Chi3v,0.008650190768321846
Chi1n,0.008601250632760241
FractionCSP3,0.008552843325477642
VSA_EState2,0.008535603738612091
SlogP_VSA3,0.008316040010812903
BertzCT,0.008269923502790408
BCUT2D_LOGPLOW,0.008219590026415162
MolLogP,0.008203960437892767
SMR_VSA10,0.008040667193171666
PEOE_VSA3,0.00802133895651831
Chi3n,0.007971703491945816
Chi0,0.00796724700823299
fr_ester,0.007301906485147652
PEOE_VSA7,0.006841510064996715
SlogP_VSA1,0.006711724032674574
NumHDonors,0.006250724156135819
SlogP_VSA4,0.005863661534074203
SMR_VSA2,0.005836793624406562
BCUT2D_CHGHI,0.005820596326418623
NumValenceElectrons,0.005782446276296814
NHOHCount,0.005680504053842623
BalabanJ,0.005598156692156269
Chi2n,0.005448276209884107
MinAbsEStateIndex,0.005360234467242742
HallKierAlpha,0.005325874413367623
FpDensityMorgan1,0.005222683104141427
RingCount,0.005169731733968227
VSA_EState1,0.005127616248246652
SlogP_VSA2,0.005064151251413689
SMR_VSA1,0.00482868702513287
BCUT2D_MRHI,0.004814666344091821
PEOE_VSA9,0.0047256388017799
NumAromaticRings,0.004659079269934156
VSA_EState8,0.004106771138329305
MaxAbsPartialCharge,0.004080038652914621
Kappa2,0.004068892932925052
SMR_VSA3,0.0040447894825938226
EState_VSA3,0.004009144037668124
MaxAbsEStateIndex,0.003995051606210502
EState_VSA10,0.003965737609918166
NumSaturatedCarbocycles,0.003939548712156159
NOCount,0.003904624656994322
SMR_VSA9,0.0038946635782994956
Kappa1,0.00372590053902048
MaxEStateIndex,0.0037053025563952655
MinPartialCharge,0.0036868218192346583
NumHeteroatoms,0.003602046416519955
fr_bicyclic,0.003539589411595325
PEOE_VSA13,0.003492262797441846
MolWt,0.0034362357755075086
EState_VSA2,0.0033848926965385135
HeavyAtomCount,0.003303158853176722
Chi0v,0.0032847418279487025
NumRotatableBonds,0.0032628864074241166
fr_sulfone,0.003209470712339057
EState_VSA6,0.0031907864264583675
EState_VSA7,0.0031213855199099913
VSA_EState4,0.002985115216816196
BCUT2D_MWLOW,0.0027165946279761556
fr_C_S,0.0026997521855817623
fr_furan,0.002645173758630683
NumAliphaticRings,0.00241974776532393
NumSaturatedHeterocycles,0.0021498613828362417
fr_C_O_noCOO,0.002136580569872647
SlogP_VSA7,0.001946370391257055
fr_phos_acid,0.0018116664788945397
fr_Ar_NH,0.001667984881891495
EState_VSA9,0.0016296550872101124
MinEStateIndex,0.001625216024175608
HeavyAtomMolWt,0.00150992698685551
SlogP_VSA8,0.0014952874755147397
fr_aniline,0.0013529102469617808
fr_phenol,0.0013276415525889896
PEOE_VSA12,0.0013041455138758508
fr_lactone,0.0012841105666923222
MaxPartialCharge,0.0012631656028558728
PEOE_VSA1,0.0010154622995853135
EState_VSA4,0.0010078696002104488
TPSA,0.0009691049658352641
fr_sulfonamd,0.000834392230983653
fr_nitro_arom,0.0008194582670070929
fr_C_O,0.0007759758077503303
fr_ketone_Topliss,0.0007058336686397302
fr_unbrch_alkane,0.0006992851687874784
fr_morpholine,0.0006753158606978698
NumAromaticCarbocycles,0.0006582111845269739
fr_ketone,0.0006077439647381674
fr_thiophene,0.0005957956954858464
fr_NH1,0.0005878470694386661
fr_azo,0.0005755607958060415
fr_Ar_N,0.0005731922398589064
SlogP_VSA6,0.0005372448979591837
VSA_EState6,0.0005216968728072068
fr_tetrazole,0.0005002405002405013
fr_nitro_arom_nonortho,0.00047370690687812886
fr_NH2,0.0004522946134586905
fr_hdrzone,0.0004368460109999751
fr_Al_OH,0.0003594716690242395
fr_Ar_OH,0.00035461493239271003
NumAliphaticHeterocycles,0.00034138655462184883
SlogP_VSA5,0.0003313145910538128
fr_oxazole,0.00032496616140896615
fr_imide,0.000319218596529521
fr_ArN,0.0003183673469387755
fr_phenol_noOrthoHbond,0.00030612244897959215
fr_amide,0.00029203712679683734
fr_aryl_methyl,0.00025537487722361634
fr_aldehyde,0.0001935255198487726
fr_Ndealkylation2,0.00018838304552590263
fr_nitro,0.00017291007312015714
fr_Al_OH_noTert,0.0001557818230235219
fr_ether,0.00014553701735080116
fr_guanido,9.698794772146165e-05
fr_sulfide,4.2225633622756087e-05
fr_pyridine,0.0
fr_phos_ester,0.0
fr_urea,0.0
VSA_EState5,0.0
fr_thiazole,0.0
PEOE_VSA4,0.0
fr_piperdine,0.0
fr_piperzine,0.0
fr_priamide,0.0
fr_NH0,0.0
fr_methoxy,0.0
fr_para_hydroxylation,0.0
fr_benzene,0.0
fr_Ndealkylation1,0.0
fr_Nhpyrrole,0.0
fr_alkyl_halide,0.0
fr_allylic_oxid,0.0
fr_Imine,0.0
fr_HOCCN,0.0
fr_COO2,0.0
fr_oxime,0.0
fr_COO,0.0
fr_halogen,0.0
fr_imidazole,0.0
fr_Ar_COO,0.0
fr_nitrile,0.0
VSA_EState7,0.0
qed,0.0
